U_ID,MOD_ID,GLAC_ID,MOD_H,GLAC_H,DEBRIS,FRAC_GLAC,ICE_DEPTH
1682,37274,1415,5313,5348.95,0,0.09262587605898606,35.95
1683,37534,1413,6327,6380.28,0,0.04991439517061971,53.28
1684,37535,1413,5987,6040.28,0,0.6865107313537747,53.28
1685,37536,1413,5185,5238.28,0,0.3168013061875675,53.28
1686,37536,1418,5185,5243.88,0,0.1317199238999933,58.88
1687,37537,1418,4704,4762.88,0,0.285122288776251,58.88
1688,37538,1407,4351,4432.04,1,0.04478681615564198,81.04
1689,37539,1407,4250,4331.04,1,0.48452561775270103,81.04
1690,37540,1407,4192,4273.04,1,0.7535914355978668,81.04
1691,37541,1407,4153,4234.04,1,0.09666700426408556,81.04
1692,37551,1419,5521,5555.47,0,0.009360699732873588,34.47
1693,37552,1419,5344,5378.47,0,0.0023180881864600816,34.47
1694,37552,1420,5344,5380.1,0,0.32754586059327423,36.1
1695,37553,1415,5237,5272.95,0,0.18136124869929254,35.95
1696,37553,1416,5237,5249.54,0,0.06409970586629585,12.54
1697,37553,1417,5237,5241.88,0,0.013361669349320232,4.88
1698,37553,1420,5237,5273.1,0,0.15503359371294548,36.1
1699,37554,1415,5280,5315.95,0,0.2457028287924109,35.95
1700,37808,1421,5954,6072.9,0,0.01623918248956278,118.9
1701,37809,1421,5778,5896.9,0,0.21375567078166396,118.9
1702,37810,1421,5634,5752.9,0,0.016039229381363606,118.9
1703,37812,1421,5682,5800.9,0,0.023511055742815135,118.9
1704,37813,1418,5701,5759.88,0,0.025586117839194834,58.88
1705,37813,1421,5701,5819.9,0,0.07797502918570488,118.9
1706,37814,1418,5790,5848.88,0,0.19743199136353842,58.88
1707,37815,1413,5692,5745.28,0,0.045922588889732954,53.28
1708,37815,1418,5692,5750.88,0,0.7721617976048579,58.88
1709,37815,1421,5692,5810.9,0,0.0022995348929949104,118.9
1710,37815,1422,5692,5719.71,0,0.009149781928598881,27.71
1711,37816,1418,5273,5331.88,0,0.6861612214220678,58.88
1712,37816,1423,5273,5308.65,0,0.18914491581250728,35.65
1713,37817,1418,4927,4985.88,0,0.0376292734574601,58.88
1714,37817,1423,4927,4962.65,0,0.22995634049275762,35.65
1715,37817,1424,4927,4964.1,0,0.005280834826022387,37.1
1716,37818,1425,4976,4999.87,0,0.16724810252746194,23.87
1717,37820,1407,4476,4557.04,1,0.04792475788574421,81.04
1718,37821,1407,4131,4212.04,1,0.06426356922795623,81.04
1719,37831,1419,5301,5335.47,0,0.43691918678461017,34.47
1720,37831,1426,5301,5345.18,0,0.028984800535543358,44.18
1721,37832,1419,5518,5552.47,0,0.14735570353548416,34.47
1722,37832,1420,5518,5554.1,0,0.05284276112270355,36.1
1723,37832,1426,5518,5562.18,0,0.5491426550814081,44.18
1724,37832,1427,5518,5550.08,0,0.027929603412843076,32.08
